iter	Passed	Remaining
584	2782	1973
585	2784	1966
586	2790	1963
587	2792	1956
588	2795	1950
589	2797	1943
590	2799	1937
591	2806	1934
592	2809	1928
593	2812	1922
594	2814	1915
595	2821	1912
596	2824	1906
597	2826	1900
598	2829	1894
599	2834	1889
600	2836	1883
601	2839	1877
602	2844	1872
603	2854	1871
604	2857	1865
605	2859	1859
606	2862	1853
607	2867	1848
608	2869	1842
609	2872	1836
610	2874	1830
611	2880	1826
612	2883	1820
613	2886	1814
614	2889	1808
615	2896	1805
616	2900	1800
617	2902	1794
618	2905	1788
619	2912	1784
620	2915	1779
621	2917	1773
622	2920	1767
623	2926	1763
624	2928	1757
625	2934	1753
626	2939	1748
627	2946	1745
628	2948	1738
629	2950	1732
630	2956	1728
631	2959	1723
632	2962	1717
633	2964	1711
634	2967	1705
635	2972	1701
636	2975	1695
637	2978	1689
638	2980	1683
639	2988	1681
640	3007	1684
641	3009	1678
642	3012	1672
643	3017	1668
644	3020	1662
645	3026	1658
646	3030	1653
647	3038	1650
648	3040	1644
649	3042	1638
650	3048	1634
651	3051	1628
652	3054	1623
653	3056	1617
654	3061	1612
655	3065	1607
656	3067	1601
657	3070	1595
658	3072	1590
659	3078	1586
660	3082	1580
661	3084	1574
662	3086	1568
663	3092	1565
664	3096	1559
665	3098	1553
666	3101	1548
667	3103	1542
668	3108	1538
669	3111	1532
670	3116	1528
671	3120	1523
672	3129	1520
673	3131	1514
674	3134	1509
675	3138	1504
676	3141	1498
677	3143	1493
678	3146	1487
679	3148	1481
680	3153	1477
681	3156	1471
682	3159	1466
683	3161	1460
684	3166	1456
685	3170	1451
686	3172	1445
687	3174	1439
688	3176	1433
689	3178	1427
690	3185	1424
691	3188	1419
692	3190	1413
693	3192	1407
694	3199	1404
695	3202	1398
696	3207	1394
697	3212	1389
698	3220	1386
699	3222	1381
700	3225	1375
701	3230	1371
702	3233	1365
703	3235	1360
704	3237	1354
705	3245	1351
706	3247	1345
707	3250	1340
708	3252	1334
709	3255	1329
710	3259	1324
711	3262	1319
712	3264	1314
713	3266	1308
714	3268	1303
715	3276	1299
716	3278	1294
717	3280	1288
718	3282	1282
719	3290	1279
720	3293	1274
721	3297	1269
722	3300	1264
723	3310	1261
724	3312	1256
725	3315	1251
726	3321	1247
727	3324	1242
728	3327	1236
729	3329	1231
730	3332	1226
731	3336	1221
732	3338	1216
733	3341	1211
734	3344	1205
735	3353	1202
736	3355	1197
737	3357	1192
738	3360	1186
739	3366	1182
740	3369	1177
741	3371	1172
742	3373	1166
743	3375	1161
744	3379	1156
745	3381	1151
746	3384	1146
747	3388	1141
748	3394	1137
749	3399	1133
750	3402	1128
751	3404	1122
752	3409	1118
753	3413	1113
754	3415	1108
755	3417	1103
756	3419	1097
757	3425	1093
758	3427	1088
759	3430	1083
760	3432	1077
761	3434	1072
762	3439	1068
763	3443	1063
764	3445	1058
765	3447	1053
766	3448	1047
767	3455	1043
768	3458	1038
769	3460	1033
770	3462	1028
771	3465	1023
772	3469	1018
773	3471	1013
774	3477	1009
775	3481	1004
776	3487	1000
777	3489	995
778	3492	990
779	3496	986
780	3501	981
781	3503	976
782	3506	971
783	3508	966
784	3516	963
785	3519	958
786	3522	953
787	3524	948
788	3532	944
789	3534	939
790	3536	934
791	3538	929
792	3545	925
793	3548	920
794	3551	915
795	3553	910
796	3555	905
797	3560	901
798	3562	896
799	3568	892
800	3571	887
801	3578	883
802	3581	878
803	3583	873
804	3585	868
805	3589	863
806	3592	859
807	3595	854
808	3597	849
809	3599	844
810	3607	840
811	3610	835
812	3612	830
813	3614	826
814	3619	821
815	3624	817
816	3626	812
817	3629	807
818	3637	803
819	3640	799
820	3642	794
821	3644	789
822	3649	784
823	3651	780
824	3654	775
825	3659	770
826	3664	766
827	3670	762
828	3672	757
829	3674	752
830	3678	748
831	3682	743
832	3684	738
833	3686	733
834	3689	729
835	3694	724
836	3699	720
837	3702	715
838	3705	711
839	3711	707
840	3715	702
841	3720	698
842	3725	693
843	3732	689
844	3734	685
845	3736	680
846	3741	675
847	3744	671
848	3746	666
849	3749	661
850	3751	656
851	3758	652
852	3760	648
853	3762	643
854	3764	638
855	3766	633
856	3775	630
857	3777	625
858	3779	620
859	3782	615
860	3791	612
861	3794	607
862	3797	602
863	3803	598
864	3806	594
865	3809	589
866	3812	584
867	3820	581
868	3823	576
869	3824	571
870	3826	566
871	3829	562
872	3833	557
873	3835	553
874	3837	548
875	3839	543
876	3842	538
877	3848	534
878	3852	530
879	3853	525
880	3855	520
881	3857	516
882	3865	512
883	3869	507
884	3871	503
885	3873	498
886	3879	494
887	3883	489
888	3886	485
889	3891	480
890	3894	476
891	3896	471
892	3901	467
893	3906	463
894	3913	459
895	3915	454
896	3917	449
897	3920	445
898	3924	440
899	3926	436
900	3928	431
901	3930	427
902	3932	422
903	3937	418
904	3941	413
905	3944	409
906	3945	404
907	3947	399
908	3955	395
909	3960	391
910	3961	387
911	3963	382
912	3969	378
913	3974	373
914	3976	369
915	3978	364
916	3985	360
917	3987	356
918	3992	351
919	3996	347
920	4004	343
921	4006	338
922	4008	334
923	4009	329
924	4012	325
925	4017	321
926	4019	316
927	4020	311
928	4022	307
929	4024	302
930	4029	298
931	4033	294
932	4035	289
933	4037	285
934	4039	280
935	4048	276
936	4051	272
937	4053	267
938	4055	263
939	4064	259
940	4066	254
941	4068	250
942	4070	246
943	4076	241
944	4079	237
945	4083	233
946	4089	228
947	4100	224
948	4102	220
949	4106	216
950	4109	211
951	4111	207
952	4113	202
953	4115	198
954	4123	194
955	4126	189
956	4128	185
957	4130	181
958	4137	176
959	4141	172
960	4143	168
961	4144	163
962	4146	159
963	4151	155
964	4154	150
965	4156	146
966	4158	141
967	4160	137
968	4168	133
969	4171	129
970	4173	124
971	4175	120
972	4187	116
973	4189	111
974	4191	107
975	4197	103
976	4199	98
977	4202	94
978	4206	90
979	4210	85
980	4217	81
981	4219	77
982	4221	73
983	4223	68
984	4227	64
985	4230	60
986	4232	55
987	4234	51
988	4236	47
989	4238	42
990	4245	38
991	4247	34
992	4249	29
993	4251	25
994	4252	21
995	4262	17
996	4264	12
997	4266	8
998	4273	4
999	4279	0
